1-0	4-nummod	1-nsubj
118-1	9-dep	0-nmod
118-2	4-det	1-nmod
118-3	4-amod	2-nmod
118-4	1-dep	3-nmod
118-5	6-case	4-nmod
118-6	4-nmod	5-nmod
118-7	1-punct	0-punct
118-8	1-punct	0-punct
118-9	24-root	0-nmod
118-10	9-nsubj	9-nmod
118-11	10-name	10-nmod
118-12	10-punct	0-punct
118-13	10-conj	0-nmod
118-14	13-name	13-nmod
118-15	10-cc	14-cc
118-16	10-conj	15-nmod
118-17	18-case	16-nmod
118-18	16-nmod	17-nmod
118-19	21-punct	0-punct
118-20	21-name	0-nmod
118-21	16-appos	24-root
118-22	21-name	21-nmod
118-23	9-punct	21-punct

119-0	2-case	15-root
119-1	2-det	0-nmod
119-2	10-nmod	0-nmod
119-3	10-cop	2-nmod
119-4	6-det	3-nmod
119-5	6-amod	3-nmod
119-6	7-nmodCOLposs	5-nmod
119-7	10-nsubj	6-nmod
119-8	9-case	7-nmod
119-9	10-nmod	7-nmod
119-10	15-root	9-nmod
119-11	10-dep	10-nmod
119-12	13-cop	11-nmod
119-13	11-amod	12-nmod
119-14	10-punct	0-punct

120-0	2-det	22-root
120-1	2-amod	0-nmod
120-2	13-nsubj	1-nmod
120-3	13-aux	2-nmod
120-4	5-det	3-nmod
120-5	7-nmodCOLtemp	3-nmod
120-6	5-nmod	3-nmod
120-7	13-advmod	6-nmod
120-8	13-dep	7-nmod
120-9	13-punct	0-punct
120-10	13-mark	11-mark
120-11	13-nsubj	0-nmod
120-12	13-aux	11-nmod
120-13	22-root	12-nmod
120-14	13-dobj	13-nmod
120-15	16-case	14-nmod
120-16	14-nmod	15-nmod
120-17	18-case	22-root
120-18	13-nmod	17-nmod
120-19	18-cc	18-cc
120-20	18-conj	18-nmod
120-21	13-punct	17-punct

121-0	1-nsubj	27-root
121-1	27-root	0-nmod
121-2	3-det	1-nmod
121-3	1-dobj	2-nmod
121-4	1-dep	3-nmod
121-5	6-nmodCOLposs	4-nmod
121-6	4-dobj	5-nmod
121-7	10-punct	4-punct
121-8	10-nsubj	4-nmod
121-9	10-aux	8-nmod
121-10	6-aclCOLrelcl	9-nmod
121-11	10-dobj	10-nmod
121-12	13-advmod	0-nmod
121-13	11-dep	12-nmod
121-14	10-dep	27-root
121-15	14-dep	14-nmod
121-16	17-punct	14-punct
121-17	10-dep	16-nmod
121-18	17-dep	27-root
121-19	18-dep	18-nmod
121-20	19-dobj	19-nmod
121-21	19-dep	20-nmod
121-22	25-case	21-nmod
121-23	24-advmod	22-nmod
121-24	25-amod	23-nmod
121-25	21-nmod	24-nmod
121-26	1-punct	18-punct

122-0	6-root	1-cc
122-1	4-nsubj	2-expl
122-2	4-cop	6-root
122-3	4-neg	2-nmod
122-4	0-conj	3-nmod
122-5	0-punct	2-punct

123-0	2-det	11-root
123-1	2-dep	0-nmod
123-2	3-dep	1-nmod
123-3	11-root	2-nmod
123-4	3-nsubj	3-nmod
123-5	3-punct	0-punct
123-6	7-case	0-nmod
123-7	3-nmod	6-nmod
123-8	6-punct	0-punct
123-9	3-amod	0-advmod
123-10	3-punct	0-punct

124-0	1-nmodCOLposs	5-root
124-1	5-root	0-nmod
124-2	3-case	3-advmodCOLemph
124-3	1-nmod	1-nmod
124-4	1-punct	0-punct

125-0	4-punct	1-punct
125-1	4-nsubj	12-root
125-2	4-cop	1-nmod
125-3	4-advmod	4-advmod
125-4	12-root	1-nmod
125-5	6-case	4-nmod
125-6	4-nmod	5-nmod
125-7	10-dep	6-case
125-8	10-det	7-nmod
125-9	10-amod	7-nmod
125-10	4-dep	9-nmod
125-11	4-punct	1-punct

126-0	1-nsubj	1-expl
126-1	17-root	17-root
126-2	1-dobj	1-nmod
126-3	6-punct	1-punct
126-4	6-mark	5-mark
126-5	6-nsubj	1-nmod
126-6	0-dep	5-nmod
126-7	8-advmod	6-nmod
126-8	6-advmod	1-advmod
126-9	13-punct	1-punct
126-10	13-mark	11-mark
126-11	13-nsubj	1-nmod
126-12	13-aux	11-nmod
126-13	1-dep	12-nmod
126-14	13-iobj	13-nmod
126-15	13-dobj	14-nmod
126-16	1-punct	1-punct

127-0	3-nsubj	14-root
127-1	3-aux	0-nmod
127-2	3-aux	1-nmod
127-3	14-root	2-xcomp
127-4	3-advmod	3-nmod
127-5	8-punct	0-punct
127-6	8-mark	0-case
127-7	8-nsubj	6-nmod
127-8	4-dep	7-nmod
127-9	8-punct	0-punct
127-10	3-cc	0-cc
127-11	12-cop	0-nmod
127-12	3-conj	11-nmod
127-13	3-punct	0-punct

128-0	1-nsubj	14-root
128-1	14-root	0-nmod
128-2	1-dobj	1-nmod
128-3	2-dep	2-nmod
128-4	5-case	14-root
128-5	3-nmod	4-nmod
128-6	1-punct	4-punct
128-7	1-cc	4-cc
128-8	9-det	4-nmod
128-9	11-nsubj	8-nmod
128-10	11-cop	9-nmod
128-11	1-conj	10-nmod
128-12	1-punct	4-punct
128-13	1-punct	4-punct

129-0	2-nsubj	17-root
129-1	2-cop	0-nmod
129-2	17-root	1-nmod
129-3	6-punct	0-punct
129-4	6-mark	5-mark
129-5	6-nsubj	0-nmod
129-6	2-dep	5-nmod
129-7	6-dobj	6-nmod
129-8	7-dep	7-nmod
129-9	8-dobj	8-nmod
129-10	8-advmod	0-advmod
129-11	2-cc	10-cc
129-12	2-conj	10-nmod
129-13	15-case	12-nmod
129-14	15-det	17-root
129-15	12-nmod	14-nmod
129-16	2-punct	14-punct

130-0	2-punct	1-punct
130-1	2-nsubj	22-root
130-2	22-root	1-nmod
130-3	2-advmod	2-nmod
130-4	6-case	3-nmod
130-5	6-det	4-nmod
130-6	2-nmod	5-nmod
130-7	2-cc	6-cc
130-8	2-conj	6-nmod
130-9	14-punct	1-punct
130-10	14-mark	11-mark
130-11	14-nsubj	1-nmod
130-12	14-cop	11-nmod
130-13	14-advmod	12-advmod
130-14	8-dobj	13-nmod
130-15	14-punct	13-punct
130-16	18-nsubj	13-nmod
130-17	18-aux	16-nmod
130-18	14-conj	17-nmod
130-19	18-dobj	18-nmod
130-20	2-punct	1-punct
130-21	2-punct	1-punct

131-0	2-punct	1-punct
131-1	2-nsubj	12-root
131-2	12-root	1-nmod
131-3	8-punct	2-punct
131-4	8-mark	5-mark
131-5	7-det	2-nmod
131-6	7-amod	2-nmod
131-7	8-nsubj	1-nmod
131-8	2-dep	7-nmod
131-9	10-case	8-nmod
131-10	8-nmod	9-nmod
131-11	2-punct	1-punct

132-0	2-mark	1-mark
132-1	2-nsubj	44-root
132-2	8-dep	1-nmod
132-3	2-dobj	2-nmod
132-4	2-dep	3-nmod
132-5	4-dep	4-nmod
132-6	5-dep	5-nmod
132-7	2-punct	5-punct
132-8	44-root	5-nmod
132-9	8-nsubj	8-nmod
132-10	11-punct	1-punct
132-11	16-mark	12-mark
132-12	13-nmodCOLposs	1-nmod
132-13	16-nsubj	12-nmod
132-14	16-aux	13-nmod
132-15	11-punct	16-punct
132-16	8-dobj	1-nmod
132-17	16-punct	16-punct
132-18	16-dobj	17-nmod
132-19	21-case	18-nmod
132-20	21-det	19-nmod
132-21	16-nmod	20-nmod
132-22	21-punct	20-punct
132-23	28-nsubj	20-nmod
132-24	25-advmod	23-nmod
132-25	28-advmod	19-advmod
132-26	28-aux	25-nmod
132-27	28-aux	26-nmod
132-28	21-aux	27-nmod
132-29	31-case	44-root
132-30	31-det	29-nmod
132-31	28-nmod	29-nmod
132-32	31-punct	31-punct
132-33	38-dobj	44-root
132-34	38-nsubj	33-nmod
132-35	38-advmod	34-nmod
132-36	38-aux	35-nmod
132-37	38-aux	36-nmod
132-38	31-aux	37-xcomp
132-39	38-compoundCOLprt	38-nmod
132-40	41-case	44-root
132-41	38-nmod	40-nmod
132-42	8-punct	40-punct
132-43	8-punct	40-punct

133-0	1-case	28-root
133-1	13-nmod	0-nmod
133-2	1-dep	28-root
133-3	4-det	2-nmod
133-4	2-amod	2-nmod
133-5	9-case	4-nmod
133-6	9-nmodCOLposs	5-nmod
133-7	9-amod	6-nmod
133-8	9-amod	7-nmod
133-9	4-nmod	8-nmod
133-10	13-cop	9-nmod
133-11	13-nsubj	10-nmod
133-12	11-name	11-nmod
133-13	28-root	12-nmod
133-14	13-dep	13-nmod
133-15	14-dep	14-nmod
133-16	15-dep	15-nmod
133-17	22-punct	2-punct
133-18	22-mark	19-mark
133-19	22-nsubj	2-nmod
133-20	22-advmod	19-nmod
133-21	22-advmod	2-advmod
133-22	16-dobj	21-nmod
133-23	22-dobj	22-nmod
133-24	23-dep	23-nmod
133-25	26-advmod	2-advmod
133-26	24-advmod	2-advmod
133-27	13-punct	2-punct

134-0	3-punct	1-punct
134-1	3-nsubj	12-root
134-2	3-aux	1-nmod
134-3	12-root	2-nmod
134-4	3-dobj	3-nmod
134-5	6-case	4-nmod
134-6	3-nmod	4-nmod
134-7	8-advmod	6-nmod
134-8	10-case	9-advmodCOLemph
134-9	10-amod	7-nmod
134-10	3-nmod	9-nmod
134-11	3-punct	1-punct

135-0	27-root	2-cc
135-1	5-mark	2-mark
135-2	5-nsubj	27-root
135-3	4-case	2-nmod
135-4	5-nmod	3-nmod
135-5	18-dep	4-nmod
135-6	7-case	10-advmodCOLemph
135-7	5-nmod	6-nmod
135-8	13-punct	6-punct
135-9	13-mark	10-mark
135-10	13-nsubj	27-root
135-11	13-aux	10-nmod
135-12	13-aux	11-nmod
135-13	5-dobj	12-nmod
135-14	15-det	13-nmod
135-15	13-dobj	14-nmod
135-16	13-nmodCOLloc	15-nmod
135-17	13-punct	10-punct
135-18	0-conj	10-nmod
135-19	18-nsubj	27-root
135-20	18-advmod	19-nmod
135-21	23-det	20-nmod
135-22	23-amod	21-nmod
135-23	18-dobj	22-nmod
135-24	25-case	23-nmod
135-25	18-nmod	24-nmod
135-26	0-punct	19-punct

136-0	3-mark	1-mark
136-1	3-nsubj	25-root
136-2	1-name	1-nmod
136-3	18-nsubj	2-nmod
136-4	3-nmodCOLloc	3-nmod
136-5	3-cc	3-cc
136-6	3-conj	3-nmod
136-7	6-dobj	3-nmod
136-8	11-advmod	3-nmod
136-9	14-case	8-nmod
136-10	14-amod	9-nmod
136-11	10-cc	10-cc
136-12	13-nmodCOLposs	10-nmod
136-13	10-conj	12-nmod
136-14	6-nmod	13-nmod
136-15	3-punct	9-punct
136-16	18-cop	9-nmod
136-17	20-advmod	25-root
136-18	25-root	17-nmod
136-19	18-punct	17-punct
136-20	18-cc	17-cc
136-21	20-advmod	25-root
136-22	23-advmod	21-nmod
136-23	18-conj	22-nmod
136-24	18-punct	21-punct

137-0	2-nsubj	19-root
137-1	2-cop	0-nmod
137-2	19-root	1-nmod
137-3	2-dep	2-nmod
137-4	12-punct	0-punct
137-5	12-mark	6-mark
137-6	7-amod	0-nmod
137-7	12-nsubj	6-nmod
137-8	9-case	7-nmod
137-9	12-nmod	8-nmod
137-10	12-aux	9-nmod
137-11	12-aux	10-nmod
137-12	3-dep	11-xcomp
137-13	12-iobj	12-nmod
137-14	16-det	13-nmod
137-15	16-amod	14-nmod
137-16	12-dobj	15-nmod
137-17	12-punct	0-punct
137-18	2-punct	0-punct

138-0	2-root	2-root
138-1	0-name	0-nmod

139-0	2-nsubj	14-root
139-1	2-aux	0-nmod
139-2	14-root	1-nmod
139-3	2-dobj	2-nmod
139-4	6-case	5-advmodCOLemph
139-5	6-nmodCOLposs	3-nmod
139-6	3-nmod	5-nmod
139-7	6-appos	6-nmod
139-8	7-name	7-nmod
139-9	10-case	8-nmod
139-10	2-nmod	9-nmod
139-11	12-case	14-root
139-12	10-nmod	11-nmod
139-13	2-punct	11-punct

140-0	4-root	4-root
140-1	0-punct	0-punct
140-2	0-list	4-root
140-3	2-name	2-nmod

141-0	2-case	39-root
141-1	2-amod	0-nmod
141-2	23-nmod	1-nmod
141-3	2-punct	0-punct
141-4	5-case	0-nmod
141-5	2-nmod	4-nmod
141-6	7-case	5-nmod
141-7	5-nmod	6-nmod
141-8	7-nmod	0-nummod
141-9	8-cc	8-cc
141-10	8-conj	8-nummod
141-11	13-det	10-nmod
141-12	13-dep	11-nmod
141-13	5-dep	12-nmod
141-14	13-nmod	13-nummod
141-15	4-punct	14-punct
141-16	23-aux	14-nmod
141-17	23-nsubj	16-nmod
141-18	17-name	17-nmod
141-19	23-advmod	18-nmod
141-20	21-case	19-nmod
141-21	23-nmod	20-nmod
141-22	23-aux	21-nmod
141-23	39-root	22-xcomp
141-24	25-det	23-nmod
141-25	23-dobj	24-nmod
141-26	23-cc	22-cc
141-27	23-conj	22-xcomp
141-28	27-dobj	27-nmod
141-29	27-advmod	27-nmod
141-30	31-case	22-xcomp
141-31	29-nmod	30-nmod
141-32	27-dep	31-nmod
141-33	32-dep	32-nmod
141-34	33-dep	33-nmod
141-35	34-dobj	39-root
141-36	37-case	39-root
141-37	34-nmod	36-nmod
141-38	23-punct	36-punct

142-0	5-punct	1-punct
142-1	5-advmod	23-root
142-2	5-auxpass	1-nmod
142-3	5-nsubjpass	2-nmod
142-4	5-advmod	3-nmod
142-5	9-dep	4-nmod
142-6	5-compoundCOLprt	5-nmod
142-7	5-punct	1-punct
142-8	5-punct	1-punct
142-9	23-root	1-nmod
142-10	11-nmod	9-nmod
142-11	9-nsubj	10-nmod
142-12	15-case	13-advmodCOLemph
142-13	15-det	11-nmod
142-14	15-dep	13-nmod
142-15	9-nmod	14-nmod
142-16	19-case	15-nmod
142-17	18-nmodCOLposs	16-nmod
142-18	19-nmodCOLposs	17-nmod
142-19	15-nmod	18-nmod
142-20	21-case	23-root
142-21	17-nmod	20-nmod
142-22	9-punct	20-punct

143-0	5-punct	1-punct
143-1	9-dobj	12-root
143-2	3-case	12-root
143-3	1-nmod	2-nmod
143-4	3-appos	2-nummod
143-5	12-root	4-nmod
143-6	5-nsubj	5-nmod
143-7	6-name	6-nmod
143-8	5-advmod	7-nmod
143-9	5-dep	8-nmod
143-10	5-punct	2-punct
143-11	5-punct	2-punct

144-0	1-nmodCOLposs	35-root
144-1	3-nsubj	0-nmod
144-2	1-name	1-nmod
144-3	35-root	1-nmod
144-4	3-iobj	3-nmod
144-5	3-dobj	4-nmod
144-6	7-case	5-nmod
144-7	3-nmod	6-nmod
144-8	3-punct	0-punct
144-9	3-cc	0-cc
144-10	11-case	0-nmod
144-11	22-nmod	10-nmod
144-12	22-aux	11-nmod
144-13	22-nsubj	12-nmod
144-14	15-case	13-nmod
144-15	22-nmod	14-nmod
144-16	22-dep	15-nmod
144-17	22-mark	19-mark
144-18	22-punct	17-punct
144-19	22-nsubj	0-nmod
144-20	22-neg	35-root
144-21	22-aux	20-nmod
144-22	3-conj	20-nmod
144-23	22-dobj	22-nmod
144-24	22-advmod	23-nmod
144-25	22-cc	24-cc
144-26	22-conj	24-nmod
144-27	26-punct	20-punct
144-28	29-punct	20-punct
144-29	26-dep	20-nmod
144-30	29-cop	29-nmod
144-31	32-amod	30-nmod
144-32	29-nsubj	31-nmod
144-33	29-punct	20-punct
144-34	29-punct	20-punct

145-0	16-root	3-advmod
145-1	5-punct	0-punct
145-2	5-mark	3-mark
145-3	5-expl	16-root
145-4	5-aux	3-nmod
145-5	0-list	4-nmod
145-6	7-det	16-root
145-7	5-dobj	6-nmod
145-8	5-punct	6-punct
145-9	7-dep	6-nmod
145-10	12-case	16-root
145-11	12-det	10-nmod
145-12	9-nmod	10-nmod
145-13	14-case	12-nmod
145-14	12-nmod	13-nmod
145-15	0-punct	10-punct

146-0	3-dep	53-root
146-1	2-case	0-nmod
146-2	0-nmod	1-nmod
146-3	53-root	2-nmod
146-4	5-name	3-nmod
146-5	3-nsubj	4-nmod
146-6	5-name	5-nmod
146-7	8-punct	0-punct
146-8	5-dep	0-nmod
146-9	8-dep	8-nmod
146-10	18-punct	9-punct
146-11	18-nsubj	53-root
146-12	18-advmod	11-nmod
146-13	14-case	53-root
146-14	12-nmod	13-nmod
146-15	14-appos	53-root
146-16	15-name	15-nmod
146-17	15-name	16-nmod
146-18	5-aclCOLrelcl	17-nmod
146-19	18-dobj	15-nmod
146-20	22-det	19-nmod
146-21	22-dep	20-nmod
146-22	19-dep	21-nmod
146-23	22-nmod	22-nummod
146-24	25-case	23-nmod
146-25	19-nmod	24-nmod
146-26	25-name	25-nmod
146-27	29-case	26-nmod
146-28	29-det	27-nmod
146-29	18-nmod	28-nmod
146-30	31-case	29-nmod
146-31	18-nmod	30-nmod
146-32	34-case	31-nmod
146-33	34-det	32-nmod
146-34	31-nmod	33-nmod
146-35	36-punct	27-punct
146-36	3-advmod	27-nmod
146-37	42-punct	15-punct
146-38	42-mark	39-mark
146-39	42-nsubj	15-nmod
146-40	42-aux	39-nmod
146-41	42-aux	40-nmod
146-42	3-dobj	41-nmod
146-43	42-dobj	41-xcomp
146-44	42-dep	43-nmod
146-45	48-punct	15-punct
146-46	48-mark	47-mark
146-47	48-nsubj	15-nmod
146-48	44-dep	47-nmod
146-49	48-dobj	48-nmod
146-50	51-case	49-nmod
146-51	48-nmod	50-nmod
146-52	3-punct	15-punct

147-0	4-punct	1-punct
147-1	2-det	2-advmod
147-2	4-nsubj	30-root
147-3	4-aux	2-nmod
147-4	12-dep	3-nmod
147-5	6-det	4-nmod
147-6	4-dobj	5-nmod
147-7	4-nmodCOLloc	6-nmod
147-8	9-case	7-nmod
147-9	7-nmod	8-nmod
147-10	4-punct	2-punct
147-11	4-punct	10-punct
147-12	30-root	2-nmod
147-13	15-det	12-nmod
147-14	15-amod	13-nmod
147-15	12-nsubj	14-nmod
147-16	17-case	15-nmod
147-17	12-nmod	16-nmod
147-18	12-punct	2-punct
147-19	12-cc	2-cc
147-20	21-nsubj	21-expl
147-21	12-conj	2-nmod
147-22	24-case	21-nmod
147-23	24-det	22-nmod
147-24	21-nmod	23-nmod
147-25	28-case	24-nmod
147-26	28-det	25-nmod
147-27	28-amod	25-nmod
147-28	24-nmod	27-nmod
147-29	12-punct	2-punct

148-0	4-nsubjpass	13-root
148-1	4-auxpass	0-nmod
148-2	3-advmod	1-nmod
148-3	4-neg	2-nmod
148-4	13-root	3-nmod
148-5	4-punct	0-punct
148-6	4-cc	0-cc
148-7	4-conj	13-root
148-8	11-case	7-nmod
148-9	11-det	8-nmod
148-10	11-amod	9-nmod
148-11	7-nmod	10-nmod
148-12	4-punct	7-punct

149-0	8-nsubjpass	42-root
149-1	4-punct	0-punct
149-2	4-nsubj	0-nmod
149-3	4-aux	2-nmod
149-4	0-aclCOLrelcl	3-nmod
149-5	4-dobj	3-nummod
149-6	4-punct	5-punct
149-7	8-auxpass	5-nmod
149-8	42-root	7-nmod
149-9	8-cc	5-cc
149-10	8-conj	5-nmod
149-11	13-case	10-nmod
149-12	13-nmodCOLposs	11-nmod
149-13	8-nmod	12-nmod
149-14	17-case	13-nmod
149-15	17-det	14-nmod
149-16	17-amod	15-nmod
149-17	8-nmod	15-nmod
149-18	17-dep	17-nmod
149-19	23-punct	0-punct
149-20	23-mark	21-mark
149-21	23-nsubj	0-nmod
149-22	23-cop	21-nmod
149-23	18-dep	22-nmod
149-24	23-cc	23-cc
149-25	27-det	42-root
149-26	27-amod	25-nmod
149-27	23-conj	26-nmod
149-28	27-dep	27-nmod
149-29	28-dep	28-nmod
149-30	29-dep	29-nmod
149-31	30-dep	42-root
149-32	39-det	31-nmod
149-33	39-advmod	31-advmod
149-34	23-punct	33-punct
149-35	36-advmod	36-advmod
149-36	39-advmod	31-advmod
149-37	36-cc	36-cc
149-38	36-conj	36-advmod
149-39	31-amod	38-nmod
149-40	39-punct	38-punct
149-41	8-punct	31-punct

150-0	2-case	3-root
150-1	2-dep	0-nmod
150-2	3-root	0-nmod

151-0	3-nsubj	23-root
151-1	2-case	0-nmod
151-2	0-nmod	1-nmod
151-3	23-root	2-nmod
151-4	5-case	16-advmodCOLemph
151-5	3-nmod	4-nmod
151-6	9-case	7-advmodCOLemph
151-7	8-nmodCOLposs	5-nmod
151-8	9-nmodCOLposs	7-nmod
151-9	5-nmod	8-nmod
151-10	11-case	9-nmod
151-11	9-nmod	9-nmod
151-12	13-punct	4-punct
151-13	7-appos	4-nmod
151-14	13-punct	4-punct
151-15	3-cc	4-cc
151-16	3-conj	3-nmod
151-17	16-dobj	16-nmod
151-18	16-advmod	16-nmod
151-19	21-case	18-nmod
151-20	21-det	19-nmod
151-21	16-nmod	20-nmod
151-22	3-punct	0-punct

152-0	1-nsubj	14-root
152-1	14-root	0-nmod
152-2	9-punct	0-punct
152-3	9-mark	4-mark
152-4	7-advmod	0-nmod
152-5	4-dep	4-nmod
152-6	7-nummod	5-nummod
152-7	9-nsubj	6-nmod
152-8	9-aux	7-nmod
152-9	1-dobj	8-nmod
152-10	9-cc	9-cc
152-11	9-conj	9-nmod
152-12	9-dobj	11-nmod
152-13	1-punct	0-punct

153-0	1-det	1-nmod
153-1	9-nsubj	30-root
153-2	1-punct	1-punct
153-3	5-nsubj	1-nmod
153-4	5-neg	3-nmod
153-5	1-aux	4-nmod
153-6	7-det	5-nmod
153-7	5-dobj	6-nmod
153-8	5-punct	1-punct
153-9	30-root	1-nmod
153-10	9-advmod	9-nmod
153-11	15-case	30-root
153-12	15-nummod	11-nummod
153-13	15-dep	12-cc
153-14	15-amod	13-nmod
153-15	10-nmod	14-nmod
153-16	9-nmodCOLloc	15-xcomp
153-17	18-case	16-nmod
153-18	16-nmod	16-nmod
153-19	21-punct	12-punct
153-20	21-nsubj	12-nmod
153-21	18-aclCOLrelcl	20-nmod
153-22	23-case	21-nmod
153-23	21-nmod	22-nmod
153-24	23-cc	23-cc
153-25	28-det	23-nmod
153-26	28-amod	25-nmod
153-27	28-det	26-nmod
153-28	23-conj	27-nmod
153-29	9-punct	11-punct

154-0	4-dep	22-root
154-1	0-dep	22-root
154-2	1-dep	1-nmod
154-3	2-dobj	2-nmod
154-4	22-root	3-nmod
154-5	6-det	4-nmod
154-6	4-nsubj	5-nmod
154-7	9-det	6-nmod
154-8	9-amod	7-nmod
154-9	4-dobj	8-nmod
154-10	11-case	9-nmod
154-11	4-nmod	10-nmod
154-12	15-punct	1-punct
154-13	15-mark	14-mark
154-14	15-nsubj	1-nmod
154-15	4-dep	14-nmod
154-16	18-case	15-nmod
154-17	18-det	22-root
154-18	15-nmod	17-nmod
154-19	20-case	18-nmod
154-20	18-nmod	19-nmod
154-21	4-punct	17-punct

155-0	3-nsubj	29-root
155-1	3-aux	29-root
155-2	3-neg	1-nmod
155-3	29-root	1-nmod
155-4	5-amod	3-nmod
155-5	3-dobj	4-nmod
155-6	7-case	5-nmod
155-7	5-nmod	6-nmod
155-8	11-case	9-advmodCOLemph
155-9	11-det	7-nmod
155-10	11-amod	9-nmod
155-11	7-nmod	10-nmod
155-12	3-advmod	11-nmod
155-13	14-case	12-nmod
155-14	12-nmod	12-nmod
155-15	14-cc	14-cc
155-16	14-conj	15-nmod
155-17	22-punct	14-punct
155-18	22-advmod	14-nmod
155-19	20-amod	18-nmod
155-20	22-nsubj	19-nmod
155-21	22-advmod	20-nmod
155-22	14-aclCOLrelcl	21-nmod
155-23	22-nmodCOLloc	22-nmod
155-24	25-case	23-nmod
155-25	23-nmod	24-nmod
155-26	27-case	29-root
155-27	22-nmod	26-nmod
155-28	3-punct	26-punct

156-0	1-nsubj	33-root
156-1	33-root	0-nmod
156-2	1-dobj	1-nmod
156-3	4-case	2-nmod
156-4	1-nmod	2-nmod
156-5	1-advmod	4-nmod
156-6	1-punct	0-punct
156-7	1-cc	0-cc
156-8	9-nsubj	0-nmod
156-9	1-conj	8-nmod
156-10	20-punct	0-punct
156-11	20-mark	12-mark
156-12	13-nmod	0-nmod
156-13	20-nsubj	12-nmod
156-14	15-advmod	13-nmod
156-15	20-advmod	0-advmod
156-16	18-det	15-nmod
156-17	18-amod	15-nmod
156-18	19-nsubj	17-nmod
156-19	15-dep	18-nmod
156-20	9-dobj	19-nmod
156-21	22-case	20-nmod
156-22	20-nmod	21-nmod
156-23	22-nmod	25-nummod
156-24	21-dep	23-nmod
156-25	24-nummod	28-nummod
156-26	20-punct	25-punct
156-27	24-cc	25-cc
156-28	29-advmod	33-root
156-29	30-case	28-nmod
156-30	24-nmod	29-nmod
156-31	30-nmod	28-nummod
156-32	1-punct	28-punct

157-0	1-root	1-root

158-0	19-nsubj	34-root
158-1	7-punct	0-punct
158-2	7-nsubj	0-nmod
158-3	7-advmod	2-nmod
158-4	7-advmod	3-nmod
158-5	7-aux	4-nmod
158-6	7-aux	5-nmod
158-7	0-aclCOLrelcl	6-nmod
158-8	7-dobj	7-nmod
158-9	8-cc	0-cc
158-10	8-conj	0-nmod
158-11	7-amod	10-nmod
158-12	13-case	13-advmodCOLemph
158-13	11-nmod	11-nmod
158-14	17-punct	0-punct
158-15	17-mark	16-mark
158-16	17-nsubj	0-nmod
158-17	7-dep	16-nmod
158-18	17-punct	17-punct
158-19	34-root	17-nmod
158-20	22-case	19-nmod
158-21	22-amod	20-nmod
158-22	19-nmod	21-nmod
158-23	22-punct	0-punct
158-24	30-advmod	0-nmod
158-25	26-nmod	24-nmod
158-26	30-nsubj	25-nmod
158-27	29-case	28-advmodCOLemph
158-28	29-amod	26-nmod
158-29	26-nmod	28-nmod
158-30	22-dep	29-nmod
158-31	32-nummod	30-nummod
158-32	30-dobj	31-nmod
158-33	19-punct	0-punct

159-0	1-amod	30-root
159-1	30-root	0-nmod
159-2	3-nummod	1-nummod
159-3	1-list	2-nmod
159-4	1-cc	2-cc
159-5	1-conj	2-nmod
159-6	5-name	5-nmod
159-7	5-dep	6-nmod
159-8	10-case	9-advmodCOLemph
159-9	10-amod	7-nmod
159-10	5-nmod	9-nmod
159-11	12-case	2-nmod
159-12	5-nmod	11-nmod
159-13	12-dep	12-nmod
159-14	15-case	13-nmod
159-15	11-nmod	14-nmod
159-16	17-nummod	15-nummod
159-17	5-list	16-nmod
159-18	17-punct	17-punct
159-19	22-nsubj	30-root
159-20	22-advmod	19-nmod
159-21	22-cop	20-nmod
159-22	17-cop	21-nmod
159-23	22-dep	22-nmod
159-24	23-amod	22-nmod
159-25	26-case	24-nmod
159-26	24-nmod	25-nmod
159-27	28-det	26-nmod
159-28	26-nmodCOLposs	27-nmod
159-29	1-punct	19-punct

160-0	1-root	1-root

161-0	2-amod	18-root
161-1	2-nmodCOLposs	0-nmod
161-2	10-nsubj	1-nmod
161-3	4-case	2-nmod
161-4	2-nmod	3-nmod
161-5	4-dep	4-nmod
161-6	9-mark	7-mark
161-7	9-nsubj	4-nmod
161-8	9-cop	7-nmod
161-9	5-advmod	8-nmod
161-10	18-root	9-nmod
161-11	12-nummod	10-nummod
161-12	10-dobj	11-nmod
161-13	10-punct	11-punct
161-14	10-nsubj	11-nmod
161-15	16-nummod	14-nummod
161-16	10-dobj	15-nmod
161-17	10-punct	0-punct

162-0	4-nsubj	8-root
162-1	3-case	8-root
162-2	3-amod	1-nmod
162-3	0-nmod	2-nmod
162-4	8-root	3-nmod
162-5	6-nummod	4-nummod
162-6	4-dobj	5-nmod
162-7	4-punct	1-punct

163-0	1-dobj	1-expl
163-1	17-root	17-root
163-2	3-amod	1-nmod
163-3	1-nsubj	2-nmod
163-4	5-case	17-root
163-5	3-nmod	4-nmod
163-6	1-advmod	5-nmod
163-7	8-punct	4-punct
163-8	1-advmod	4-nmod
163-9	10-nmod	8-nmod
163-10	8-dep	9-nmod
163-11	12-case	12-advmodCOLemph
163-12	10-nmod	10-nmod
163-13	15-case	12-nmod
163-14	15-amod	13-nmod
163-15	10-nmod	14-nmod
163-16	1-punct	4-punct

164-0	16-root	1-cc
164-1	2-expl	16-root
164-2	0-conj	1-nmod
164-3	4-det	16-root
164-4	5-nummod	3-nmod
