1-0	4-nummod	3-nummod
120-17	18-case	18-case
120-18	13-nmod	16-nmod
120-19	18-cc	18-cc
120-20	18-conj	18-nmod
120-21	13-punct	13-punct

121-0	1-nsubj	1-nsubj
121-1	27-root	4-ccomp
121-2	3-det	3-det
121-3	1-dobj	4-nmod
121-4	1-dep	27-root
121-5	6-nmodCOLposs	6-nsubj
121-6	4-dobj	4-dobj
121-7	10-punct	4-punct
121-8	10-nsubj	10-neg
121-9	10-aux	10-aux
121-10	6-aclCOLrelcl	4-conj
121-11	10-dobj	13-nsubj
121-12	13-advmod	13-advmod
121-13	11-dep	4-conj
121-14	10-dep	15-advmodCOLemph
121-15	14-dep	13-dobj
121-16	17-punct	13-punct
121-17	10-dep	27-root
121-18	17-dep	19-mark
121-19	18-dep	27-root
121-20	19-dobj	21-nsubj
121-21	19-dep	19-ccomp
121-22	25-case	25-case
121-23	24-advmod	24-advmod
121-24	25-amod	25-amod
121-25	21-nmod	21-nmod
121-26	1-punct	19-punct

122-0	6-root	4-cc
122-1	4-nsubj	4-nsubj
122-2	4-cop	4-aux
122-3	4-neg	4-advmod
122-4	0-conj	6-root
122-5	0-punct	4-punct

123-0	2-det	2-det
123-1	2-dep	2-amod
123-2	3-dep	3-nmod
123-3	11-root	11-root
123-4	3-nsubj	3-dobj
123-5	3-punct	3-punct
123-6	7-case	7-case
123-7	3-nmod	3-dobj
123-8	6-punct	3-punct
123-9	3-amod	3-advmod
123-10	3-punct	3-punct

124-0	1-nmodCOLposs	1-nsubj
124-1	5-root	5-root
124-2	3-case	3-case
124-3	1-nmod	1-nmod
124-4	1-punct	1-punct

125-0	4-punct	4-punct
125-1	4-nsubj	4-nsubj
125-2	4-cop	4-aux
125-3	4-advmod	4-advmod
125-4	12-root	6-amod
125-5	6-case	6-case
125-6	4-nmod	12-root
125-7	10-dep	10-case
125-8	10-det	10-det
125-9	10-amod	10-amod
125-10	4-dep	6-nmod
125-11	4-punct	6-punct

126-0	1-nsubj	1-nsubj
126-1	17-root	17-root
126-2	1-dobj	1-dobj
126-3	6-punct	6-punct
126-4	6-mark	6-mark
126-5	6-nsubj	6-nsubj
126-6	0-dep	1-ccomp
126-7	8-advmod	8-advmod
126-8	6-advmod	6-advmod
126-9	13-punct	13-punct
126-10	13-mark	13-mark
126-11	13-nsubj	13-nsubj
126-12	13-aux	13-aux
126-13	1-dep	6-conj
126-14	13-iobj	15-nsubj
126-15	13-dobj	13-dobj
126-16	1-punct	1-punct

127-0	3-nsubj	3-nsubj
127-1	3-aux	3-aux
127-2	3-aux	3-aux
127-3	14-root	14-root
127-4	3-advmod	3-advmod
127-5	8-punct	3-punct
127-6	8-mark	7-case
127-7	8-nsubj	8-nsubj
127-8	4-dep	3-ccomp
127-9	8-punct	8-punct
127-10	3-cc	8-cc
127-11	12-cop	12-aux
127-12	3-conj	8-conj
127-13	3-punct	3-punct

128-0	1-nsubj	1-nsubj
128-1	14-root	14-root
128-2	1-dobj	3-mark
128-3	2-dep	1-ccomp
128-4	5-case	5-case
128-5	3-nmod	3-dobj
128-6	1-punct	3-punct
128-7	1-cc	3-cc
128-8	9-det	9-det
128-9	11-nsubj	14-root
128-10	11-cop	11-aux
128-11	1-conj	9-amod
128-12	1-punct	11-punct
128-13	1-punct	9-punct

129-0	2-nsubj	2-nsubj
129-1	2-cop	2-aux
129-2	17-root	17-root
129-3	6-punct	6-punct
129-4	6-mark	6-mark
129-5	6-nsubj	6-nmod
129-6	2-dep	2-conj
129-7	6-dobj	8-mark
129-8	7-dep	2-conj
129-9	8-dobj	8-dobj
129-10	8-advmod	8-advmod
129-11	2-cc	8-cc
129-12	2-conj	2-conj
129-13	15-case	15-case
129-14	15-det	15-det
129-15	12-nmod	12-nmod
129-16	2-punct	2-punct

130-0	2-punct	2-punct
130-1	2-nsubj	2-nsubj
130-2	22-root	8-advcl
130-3	2-advmod	6-advmod
130-4	6-case	6-case
130-5	6-det	6-det
130-6	2-nmod	2-dobj
130-7	2-cc	6-cc
130-8	2-conj	14-cop
130-9	14-punct	14-punct
130-10	14-mark	14-mark
130-11	14-nsubj	14-nsubj
130-12	14-cop	14-aux
130-13	14-advmod	14-advmod
130-14	8-dobj	16-amod
130-15	14-punct	14-punct
130-16	18-nsubj	18-nmod
130-17	18-aux	18-aux
130-18	14-conj	22-root
130-19	18-dobj	18-dobj
130-20	2-punct	19-punct
130-21	2-punct	18-punct

131-0	2-punct	1-punct
131-1	2-nsubj	2-nsubj
131-2	12-root	12-root
131-3	8-punct	8-punct
131-4	8-mark	8-mark
131-5	7-det	7-det
131-6	7-amod	7-amod
131-7	8-nsubj	8-nsubj
131-8	2-dep	2-ccomp
131-9	10-case	10-case
131-10	8-nmod	8-nmod
131-11	2-punct	2-punct

132-0	2-mark	2-mark
132-1	2-nsubj	2-nsubj
132-2	8-dep	44-root
132-3	2-dobj	2-dobj
132-4	2-dep	6-case
132-5	4-dep	6-mark
132-6	5-dep	2-ccomp
132-7	2-punct	6-punct
132-8	44-root	6-conj
132-9	8-nsubj	8-dobj
132-10	11-punct	16-punct
132-11	16-mark	16-mark
132-12	13-nmodCOLposs	16-nsubj
132-13	16-nsubj	16-nsubj
132-14	16-aux	16-aux
132-15	11-punct	16-punct
132-16	8-dobj	8-advcl
132-17	16-punct	21-punct
132-18	16-dobj	21-nsubj
132-19	21-case	21-case
132-20	21-det	21-det
132-21	16-nmod	16-dobj
132-22	21-punct	21-punct
132-23	28-nsubj	44-root
132-24	25-advmod	44-root
132-25	28-advmod	44-root
132-26	28-aux	44-root
132-27	28-aux	44-root
132-28	21-aux	44-root
132-29	31-case	31-case
132-30	31-det	31-det
132-31	28-nmod	44-root
132-32	31-punct	31-punct
132-33	38-dobj	41-advmodCOLemph
132-34	38-nsubj	41-nsubj
132-35	38-advmod	41-advmod
132-36	38-aux	41-aux
132-37	38-aux	41-aux
132-38	31-aux	41-aux
132-39	38-compoundCOLprt	41-advmod
132-40	41-case	41-case
132-41	38-nmod	31-nmod
132-42	8-punct	41-punct
132-43	8-punct	31-punct

133-0	1-case	1-case
133-1	13-nmod	28-root
133-2	1-dep	4-case
133-3	4-det	4-det
133-4	2-amod	1-amod
133-5	9-case	6-case
133-6	9-nmodCOLposs	28-root
133-7	9-amod	9-amod
133-8	9-amod	9-amod
133-9	4-nmod	6-nmod
133-10	13-cop	28-root
133-11	13-nsubj	28-root
133-12	11-name	28-root
133-13	28-root	28-root
133-14	13-dep	16-case
133-15	14-dep	16-mark
133-16	15-dep	13-conj
133-17	22-punct	22-punct
133-18	22-mark	22-mark
133-19	22-nsubj	22-nmod
133-20	22-advmod	22-advmod
133-21	22-advmod	22-advmod
133-22	16-dobj	13-conj
133-23	22-dobj	24-mark
133-24	23-dep	13-conj
133-25	26-advmod	26-advmod
133-26	24-advmod	24-advmod
133-27	13-punct	13-punct

134-0	3-punct	3-punct
134-1	3-nsubj	3-nsubj
134-2	3-aux	3-aux
134-3	12-root	12-root
134-4	3-dobj	3-nmod
134-5	6-case	6-case
134-6	3-nmod	4-nmod
134-7	8-advmod	10-advmod
134-8	10-case	10-case
134-9	10-amod	10-amod
134-10	3-nmod	4-nmod
134-11	3-punct	3-punct

135-0	27-root	5-cc
135-1	5-mark	5-mark
135-2	5-nsubj	5-nsubj
135-3	4-case	4-case
135-4	5-nmod	5-nsubj
135-5	18-dep	27-root
135-6	7-case	7-case
135-7	5-nmod	5-dobj
135-8	13-punct	13-punct
135-9	13-mark	13-mark
135-10	13-nsubj	13-nsubj
135-11	13-aux	13-aux
135-12	13-aux	13-aux
135-13	5-dobj	5-ccomp
135-14	15-det	15-det
135-15	13-dobj	13-dobj
135-16	13-nmodCOLloc	13-advmod
135-17	13-punct	13-punct
135-18	0-conj	13-conj
135-19	18-nsubj	27-root
135-20	18-advmod	23-advmod
135-21	23-det	23-det
135-22	23-amod	23-amod
135-23	18-dobj	27-root
135-24	25-case	25-case
135-25	18-nmod	23-nmod
135-26	0-punct	23-punct

136-0	3-mark	3-mark
136-1	3-nsubj	2-name
136-2	1-name	3-nsubj
136-3	18-nsubj	25-root
136-4	3-nmodCOLloc	3-advmod
136-5	3-cc	3-cc
136-6	3-conj	3-conj
136-7	6-dobj	10-nsubj
136-8	11-advmod	10-advmod
136-9	14-case	10-case
136-10	14-amod	23-amod
136-11	10-cc	10-cc
136-12	13-nmodCOLposs	23-nsubj
136-13	10-conj	23-nsubj
136-14	6-nmod	13-nmod
136-15	3-punct	13-punct
136-16	18-cop	18-aux
136-17	20-advmod	18-advmod
136-18	25-root	13-amod
136-19	18-punct	13-punct
136-20	18-cc	13-cc
136-21	20-advmod	23-advmod
136-22	23-advmod	23-advmod
136-23	18-conj	6-conj
136-24	18-punct	3-punct

137-0	2-nsubj	19-root
137-1	2-cop	2-aux
137-2	19-root	19-root
137-3	2-dep	19-root
137-4	12-punct	12-punct
137-5	12-mark	12-mark
137-6	7-amod	7-amod
137-7	12-nsubj	12-nmod
137-8	9-case	9-case
137-9	12-nmod	12-nsubj
137-10	12-aux	12-aux
137-11	12-aux	12-aux
137-12	3-dep	19-root
137-13	12-iobj	12-nmod
137-14	16-det	16-det
137-15	16-amod	16-amod
137-16	12-dobj	13-nmod
137-17	12-punct	16-punct
137-18	2-punct	12-punct

138-0	2-root	2-root
138-1	0-name	0-nmod

139-0	2-nsubj	14-root
139-1	2-aux	2-aux
139-2	14-root	0-conj
139-3	2-dobj	14-root
139-4	6-case	5-case
139-5	6-nmodCOLposs	14-root
139-6	3-nmod	14-root
139-7	6-appos	8-name
139-8	7-name	6-nmod
139-9	10-case	10-case
139-10	2-nmod	6-nmod
139-11	12-case	12-case
139-12	10-nmod	10-nmod
139-13	2-punct	6-punct

140-0	4-root	4-root
140-1	0-punct	0-punct
140-2	0-list	0-nmod
140-3	2-name	0-nmod

141-0	2-case	2-case
141-1	2-amod	2-amod
141-2	23-nmod	23-nsubj
141-3	2-punct	2-punct
141-4	5-case	5-case
141-5	2-nmod	2-nmod
141-6	7-case	7-case
141-7	5-nmod	5-nmod
141-8	7-nmod	7-nummod
141-9	8-cc	7-cc
141-10	8-conj	7-nummod
141-11	13-det	13-det
141-12	13-dep	13-amod
141-13	5-dep	7-nmod
141-14	13-nmod	13-nummod
141-15	4-punct	2-punct
141-16	23-aux	23-aux
141-17	23-nsubj	18-name
141-18	17-name	23-nsubj
141-19	23-advmod	23-advmod
141-20	21-case	21-case
141-21	23-nmod	23-nsubj
141-22	23-aux	23-aux
141-23	39-root	39-root
141-24	25-det	25-det
141-25	23-dobj	23-dobj
141-26	23-cc	23-cc
141-27	23-conj	23-conj
141-28	27-dobj	34-nsubj
141-29	27-advmod	31-advmod
141-30	31-case	31-case
141-31	29-nmod	34-nsubj
141-32	27-dep	34-case
141-33	32-dep	34-mark
141-34	33-dep	27-conj
141-35	34-dobj	37-nsubj
141-36	37-case	37-case
141-37	34-nmod	34-nmod
141-38	23-punct	23-punct

142-0	5-punct	5-punct
142-1	5-advmod	5-advmod
142-2	5-auxpass	5-aux
142-3	5-nsubjpass	5-nsubj
142-4	5-advmod	5-advmod
142-5	9-dep	9-ccomp
142-6	5-compoundCOLprt	5-advmod
142-7	5-punct	5-punct
142-8	5-punct	5-punct
142-9	23-root	23-root
142-10	11-nmod	23-root
142-11	9-nsubj	23-root
142-12	15-case	23-root
142-13	15-det	14-det
142-14	15-dep	23-root
142-15	9-nmod	14-nmod
142-16	19-case	17-case
142-17	18-nmodCOLposs	15-nmod
142-18	19-nmodCOLposs	23-root
142-19	15-nmod	18-nmod
142-20	21-case	21-case
142-21	17-nmod	19-nmod
142-22	9-punct	18-punct

143-0	5-punct	1-punct
143-1	9-dobj	5-nmod
143-2	3-case	3-case
143-3	1-nmod	1-nmod
143-4	3-appos	3-nummod
143-5	12-root	12-root
143-6	5-nsubj	9-nsubj
143-7	6-name	9-nsubj
143-8	5-advmod	9-advmod
143-9	5-dep	5-advcl
143-10	5-punct	9-punct
143-11	5-punct	5-punct

144-0	1-nmodCOLposs	3-nmod
144-1	3-nsubj	2-name
144-2	1-name	0-nmod
144-3	35-root	35-root
144-4	3-iobj	7-nsubj
144-5	3-dobj	7-nsubj
144-6	7-case	7-case
144-7	3-nmod	3-dobj
144-8	3-punct	3-punct
144-9	3-cc	3-cc
144-10	11-case	11-case
144-11	22-nmod	3-nmod
144-12	22-aux	16-aux
144-13	22-nsubj	16-nsubj
144-14	15-case	15-case
144-15	22-nmod	16-nsubj
144-16	22-dep	11-acl
144-17	22-mark	22-mark
144-18	22-punct	22-punct
144-19	22-nsubj	22-nsubj
144-20	22-neg	22-advmod
144-21	22-aux	22-aux
144-22	3-conj	16-conj
144-23	22-dobj	26-nsubj
144-24	22-advmod	26-advmod
144-25	22-cc	24-cc
144-26	22-conj	22-advcl
144-27	26-punct	26-punct
144-28	29-punct	32-punct
144-29	26-dep	32-advmod
144-30	29-cop	32-aux
144-31	32-amod	32-amod
144-32	29-nsubj	26-dobj
144-33	29-punct	32-punct
144-34	29-punct	3-punct

145-0	16-root	5-advmod
145-1	5-punct	5-punct
145-2	5-mark	5-mark
145-3	5-expl	5-mark
145-4	5-aux	5-aux
145-5	0-list	16-root
145-6	7-det	7-det
145-7	5-dobj	5-dobj
145-8	5-punct	16-punct
145-9	7-dep	16-root
145-10	12-case	12-case
145-11	12-det	12-det
145-12	9-nmod	16-root
145-13	14-case	14-case
145-14	12-nmod	12-nmod
145-15	0-punct	12-punct

146-0	3-dep	53-root
146-1	2-case	2-case
146-2	0-nmod	3-nmod
146-3	53-root	53-root
146-4	5-name	18-nmod
146-5	3-nsubj	6-name
146-6	5-name	4-nmod
146-7	8-punct	4-punct
146-8	5-dep	4-nmod
146-9	8-dep	4-nmod
146-10	18-punct	9-punct
146-11	18-nsubj	18-mark
146-12	18-advmod	18-advmod
146-13	14-case	14-case
146-14	12-nmod	18-nmod
146-15	14-appos	17-name
146-16	15-name	17-name
146-17	15-name	14-nmod
146-18	5-aclCOLrelcl	53-root
146-19	18-dobj	18-nmod
146-20	22-det	22-det
146-21	22-dep	22-amod
146-22	19-dep	19-nmod
146-23	22-nmod	22-nummod
146-24	25-case	25-case
146-25	19-nmod	26-name
146-26	25-name	22-nmod
146-27	29-case	29-case
146-28	29-det	29-det
146-29	18-nmod	22-nmod
146-30	31-case	31-case
146-31	18-nmod	29-nmod
146-32	34-case	34-case
146-33	34-det	34-det
146-34	31-nmod	31-nmod
146-35	36-punct	18-punct
146-36	3-advmod	18-advmod
146-37	42-punct	42-punct
146-38	42-mark	42-mark
146-39	42-nsubj	42-nsubj
146-40	42-aux	42-aux
146-41	42-aux	42-aux
146-42	3-dobj	18-conj
146-43	42-dobj	53-root
146-44	42-dep	53-root
146-45	48-punct	48-punct
146-46	48-mark	48-mark
146-47	48-nsubj	48-nsubj
146-48	44-dep	53-root
146-49	48-dobj	48-nmod
146-50	51-case	51-case
146-51	48-nmod	48-nmod
146-52	3-punct	48-punct

147-0	4-punct	4-punct
147-1	2-det	2-det
147-2	4-nsubj	4-nsubj
147-3	4-aux	4-aux
147-4	12-dep	30-root
147-5	6-det	6-det
147-6	4-dobj	4-dobj
147-7	4-nmodCOLloc	9-advmod
147-8	9-case	9-case
147-9	7-nmod	12-nsubj
147-10	4-punct	9-punct
147-11	4-punct	12-punct
147-12	30-root	4-ccomp
147-13	15-det	15-det
147-14	15-amod	15-amod
147-15	12-nsubj	12-dobj
147-16	17-case	17-case
147-17	12-nmod	15-nmod
147-18	12-punct	12-punct
147-19	12-cc	12-cc
147-20	21-nsubj	21-nsubj
147-21	12-conj	4-ccomp
147-22	24-case	24-case
147-23	24-det	24-det
147-24	21-nmod	21-dobj
147-25	28-case	28-case
147-26	28-det	28-det
147-27	28-amod	28-amod
147-28	24-nmod	24-nmod
147-29	12-punct	4-punct

148-0	4-nsubjpass	4-nsubj
148-1	4-auxpass	4-aux
148-2	3-advmod	4-advmod
148-3	4-neg	4-advmod
148-4	13-root	13-root
148-5	4-punct	4-punct
148-6	4-cc	4-cc
148-7	4-conj	4-ccomp
148-8	11-case	11-case
148-9	11-det	11-det
148-10	11-amod	11-amod
148-11	7-nmod	7-nmod
148-12	4-punct	4-punct

149-0	8-nsubjpass	4-nmod
149-1	4-punct	0-punct
149-2	4-nsubj	4-mark
149-3	4-aux	4-aux
149-4	0-aclCOLrelcl	42-root
149-5	4-dobj	8-nsubj
149-6	4-punct	5-punct
149-7	8-auxpass	8-aux
149-8	42-root	4-ccomp
149-9	8-cc	8-cc
149-10	8-conj	4-ccomp
149-11	13-case	12-case
149-12	13-nmodCOLposs	30-nsubj
149-13	8-nmod	30-nsubj
149-14	17-case	17-case
149-15	17-det	17-det
149-16	17-amod	17-amod
149-17	8-nmod	13-nmod
149-18	17-dep	30-case
149-19	23-punct	30-punct
149-20	23-mark	30-mark
149-21	23-nsubj	30-nsubj
149-22	23-cop	30-aux
149-23	18-dep	30-nsubj
149-24	23-cc	23-cc
149-25	27-det	27-det
149-26	27-amod	27-amod
149-27	23-conj	23-nmod
149-28	27-dep	30-case
149-29	28-dep	30-mark
149-30	29-dep	4-ccomp
149-31	30-dep	33-case
149-32	39-det	33-det
149-33	39-advmod	30-advmod
149-34	23-punct	30-punct
149-35	36-advmod	36-advmod
149-36	39-advmod	30-advmod
149-37	36-cc	30-cc
149-38	36-conj	39-advmod
149-39	31-amod	42-root
149-40	39-punct	39-punct
149-41	8-punct	39-punct

150-0	2-case	1-case
150-1	2-dep	3-root
150-2	3-root	1-nmod

151-0	3-nsubj	3-nsubj
151-1	2-case	2-case
151-2	0-nmod	0-nmod
151-3	23-root	23-root
151-4	5-case	5-case
151-5	3-nmod	3-nmod
151-6	9-case	7-case
151-7	8-nmodCOLposs	5-nmod
151-8	9-nmodCOLposs	16-nmod
151-9	5-nmod	8-nmod
151-10	11-case	11-case
151-11	9-nmod	9-amod
151-12	13-punct	11-punct
151-13	7-appos	11-nmod
151-14	13-punct	8-punct
151-15	3-cc	8-cc
151-16	3-conj	3-conj
151-17	16-dobj	21-nsubj
151-18	16-advmod	21-advmod
151-19	21-case	21-case
151-20	21-det	21-det
151-21	16-nmod	16-nmod
151-22	3-punct	3-punct

152-0	1-nsubj	1-nsubj
152-1	14-root	14-root
152-2	9-punct	14-punct
152-3	9-mark	14-mark
152-4	7-advmod	14-root
152-5	4-dep	14-root
152-6	7-nummod	14-root
152-7	9-nsubj	14-root
152-8	9-aux	9-aux
152-9	1-dobj	7-conj
152-10	9-cc	9-cc
152-11	9-conj	7-conj
152-12	9-dobj	11-nmod
152-13	1-punct	7-punct

153-0	1-det	1-det
153-1	9-nsubj	30-root
153-2	1-punct	1-punct
153-3	5-nsubj	9-mark
153-4	5-neg	9-advmod
153-5	1-aux	9-aux
153-6	7-det	7-det
153-7	5-dobj	9-nsubj
153-8	5-punct	7-punct
153-9	30-root	1-conj
153-10	9-advmod	9-advmod
153-11	15-case	12-case
153-12	15-nummod	15-nummod
153-13	15-dep	12-cc
153-14	15-amod	15-amod
153-15	10-nmod	9-dobj
153-16	9-nmodCOLloc	18-advmod
153-17	18-case	18-case
153-18	16-nmod	15-nmod
153-19	21-punct	9-punct
153-20	21-nsubj	21-mark
153-21	18-aclCOLrelcl	1-conj
153-22	23-case	23-case
153-23	21-nmod	21-dobj
153-24	23-cc	23-cc
153-25	28-det	28-det
153-26	28-amod	28-amod
153-27	28-det	28-det
153-28	23-conj	23-nmod
153-29	9-punct	1-punct

154-0	4-dep	22-root
154-1	0-dep	2-mark
154-2	1-dep	22-root
154-3	2-dobj	4-nsubj
154-4	22-root	2-ccomp
154-5	6-det	6-det
154-6	4-nsubj	4-nmod
154-7	9-det	9-det
154-8	9-amod	9-amod
154-9	4-dobj	6-nmod
154-10	11-case	11-case
154-11	4-nmod	9-nmod
154-12	15-punct	15-punct
154-13	15-mark	15-mark
154-14	15-nsubj	15-nsubj
154-15	4-dep	2-ccomp
154-16	18-case	18-case
154-17	18-det	18-det
154-18	15-nmod	15-dobj
154-19	20-case	20-case
154-20	18-nmod	18-nmod
154-21	4-punct	2-punct

155-0	3-nsubj	3-nsubj
155-1	3-aux	3-aux
155-2	3-neg	3-advmod
155-3	29-root	29-root
155-4	5-amod	5-amod
155-5	3-dobj	3-dobj
155-6	7-case	7-case
155-7	5-nmod	5-nmod
155-8	11-case	11-case
155-9	11-det	11-det
155-10	11-amod	11-amod
155-11	7-nmod	7-nmod
155-12	3-advmod	14-advmod
155-13	14-case	14-case
155-14	12-nmod	11-nmod
155-15	14-cc	14-cc
155-16	14-conj	11-nmod
155-17	22-punct	3-punct
155-18	22-advmod	19-advmod
155-19	20-amod	20-amod
155-20	22-nsubj	22-nsubj
155-21	22-advmod	22-advmod
155-22	14-aclCOLrelcl	3-ccomp
155-23	22-nmodCOLloc	22-advmod
155-24	25-case	25-case
155-25	23-nmod	22-dobj
155-26	27-case	27-case
155-27	22-nmod	25-nmod
155-28	3-punct	3-punct

156-0	1-nsubj	1-nsubj
156-1	33-root	9-advcl
156-2	1-dobj	1-nmod
156-3	4-case	4-case
156-4	1-nmod	2-nmod
156-5	1-advmod	1-advmod
156-6	1-punct	1-punct
156-7	1-cc	1-cc
156-8	9-nsubj	9-nsubj
156-9	1-conj	33-root
156-10	20-punct	19-punct
156-11	20-mark	19-mark
156-12	13-nmod	19-nsubj
156-13	20-nsubj	12-nmod
156-14	15-advmod	19-advmod
156-15	20-advmod	19-advmod
156-16	18-det	18-det
156-17	18-amod	18-amod
156-18	19-nsubj	19-nsubj
156-19	15-dep	9-ccomp
156-20	9-dobj	9-ccomp
156-21	22-case	22-case
156-22	20-nmod	20-nmod
156-23	22-nmod	22-nummod
156-24	21-dep	25-case
156-25	24-nummod	22-nummod
156-26	20-punct	20-punct
156-27	24-cc	20-cc
156-28	29-advmod	20-advmod
156-29	30-case	30-case
156-30	24-nmod	20-nmod
156-31	30-nmod	30-nummod
156-32	1-punct	9-punct

157-0	1-root	1-root

158-0	19-nsubj	7-nsubj
158-1	7-punct	0-punct
158-2	7-nsubj	7-mark
158-3	7-advmod	7-advmod
158-4	7-advmod	7-advmod
158-5	7-aux	7-aux
158-6	7-aux	7-aux
158-7	0-aclCOLrelcl	34-root
158-8	7-dobj	7-dobj
158-9	8-cc	7-cc
158-10	8-conj	13-nsubj
158-11	7-amod	13-amod
158-12	13-case	13-case
158-13	11-nmod	7-dobj
158-14	17-punct	17-punct
158-15	17-mark	17-mark
158-16	17-nsubj	17-nsubj
158-17	7-dep	7-ccomp
158-18	17-punct	17-punct
158-19	34-root	7-ccomp
158-20	22-case	22-case
158-21	22-amod	22-amod
158-22	19-nmod	19-dobj
158-23	22-punct	19-punct
158-24	30-advmod	25-advmod
158-25	26-nmod	30-nmod
158-26	30-nsubj	25-nmod
158-27	29-case	29-case
158-28	29-amod	29-amod
158-29	26-nmod	25-nmod
158-30	22-dep	34-root
158-31	32-nummod	32-nummod
158-32	30-dobj	30-nmod
158-33	19-punct	30-punct

159-0	1-amod	1-amod
159-1	30-root	30-root
159-2	3-nummod	3-nummod
159-3	1-list	1-nmod
159-4	1-cc	3-cc
159-5	1-conj	6-name
159-6	5-name	3-nmod
159-7	5-dep	3-nmod
159-8	10-case	10-case
159-9	10-amod	10-amod
159-10	5-nmod	7-nmod
159-11	12-case	12-case
159-12	5-nmod	10-nmod
159-13	12-dep	10-nmod
159-14	15-case	15-case
159-15	11-nmod	13-nmod
159-16	17-nummod	17-nummod
159-17	5-list	15-nmod
159-18	17-punct	17-punct
159-19	22-nsubj	30-root
159-20	22-advmod	24-advmod
159-21	22-cop	24-aux
159-22	17-cop	24-aux
159-23	22-dep	24-case
159-24	23-amod	26-amod
159-25	26-case	26-case
159-26	24-nmod	30-root
159-27	28-det	28-det
159-28	26-nmodCOLposs	26-nmod
159-29	1-punct	26-punct

160-0	1-root	1-root

161-0	2-amod	1-amod
161-1	2-nmodCOLposs	2-nsubj
161-2	10-nsubj	18-root
161-3	4-case	4-case
161-4	2-nmod	2-nmod
161-5	4-dep	18-root
161-6	9-mark	18-mark
161-7	9-nsubj	18-root
161-8	9-cop	9-aux
161-9	5-advmod	18-root
161-10	18-root	9-csubj
161-11	12-nummod	12-nummod
161-12	10-dobj	10-dobj
161-13	10-punct	10-punct
161-14	10-nsubj	10-nmod
161-15	16-nummod	16-nummod
161-16	10-dobj	14-nmod
161-17	10-punct	9-punct

162-0	4-nsubj	4-nmod
162-1	3-case	3-case
162-2	3-amod	3-amod
162-3	0-nmod	0-nmod
162-4	8-root	8-root
162-5	6-nummod	6-nummod
162-6	4-dobj	4-nmod
162-7	4-punct	4-punct

163-0	1-dobj	1-nsubj
163-1	17-root	17-root
163-2	3-amod	3-amod
163-3	1-nsubj	1-dobj
163-4	5-case	5-case
163-5	3-nmod	3-nmod
163-6	1-advmod	1-advmod
163-7	8-punct	1-punct
163-8	1-advmod	10-advmod
163-9	10-nmod	10-foreign
163-10	8-dep	1-dobj
163-11	12-case	12-case
163-12	10-nmod	10-amod
163-13	15-case	15-case
163-14	15-amod	15-amod
163-15	10-nmod	10-nmod
163-16	1-punct	1-punct

164-0	16-root	2-cc
164-1	2-expl	2-mark
164-2	0-conj	16-root
164-3	4-det	4-det
164-4	5-nummod	7-nsubj
164-5	2-dobj	4-nmod
164-6	5-dep	7-mark
164-7	6-dep	2-ccomp
164-8	9-case	9-case
164-9	7-nmod	16-root
164-10	12-case	11-case
164-11	12-nmodCOLposs	16-root
164-12	9-nmod	11-nmod
164-13	14-case	14-case
164-14	7-nmod	12-nmod
164-15	0-punct	11-punct

165-0	1-amod	1-amod
165-1	6-dep	6-nsubj
165-2	6-aux	6-aux
165-3	6-nsubjpass	4-name
165-4	3-name	6-nsubj
165-5	6-auxpass	6-aux
165-6	22-root	22-root
165-7	9-case	9-case
165-8	9-det	9-det
165-9	6-nmod	6-dobj
165-10	13-punct	13-punct
165-11	13-mark	13-mark
165-12	13-nsubj	13-nsubj
165-13	6-dep	6-ccomp
165-14	15-case	15-case
165-15	13-nmod	13-nmod
165-16	13-dep	18-case
165-17	16-dep	18-mark
165-18	17-dep	6-ccomp
165-19	20-case	20-case
165-20	18-nmod	18-nmod
165-21	6-punct	6-punct

166-0	21-root	2-cc
166-1	2-advmod	2-advmod
166-2	0-conj	21-root
166-3	2-nsubj	2-dobj
166-4	2-advmod	5-advmod
166-5	2-dobj	3-nmod
166-6	7-punct	10-punct
166-7	2-advmod	10-advmod
166-8	7-mark	10-mark
166-9	10-nsubj	10-nsubj
166-10	7-dep	2-conj
166-11	10-iobj	12-nmod
166-12	10-dobj	10-dobj
166-13	12-cc	12-cc
166-14	16-det	16-det
166-15	16-amod	16-amod
166-16	12-conj	12-nmod
166-17	19-case	19-case
166-18	19-amod	19-amod
166-19	16-nmod	16-nmod
166-20	0-punct	2-punct

167-0	8-advmod	6-advmod
167-1	17-root	6-case
167-2	6-mark	6-mark
167-3	6-nsubj	6-nsubj
167-4	6-neg	6-advmod
167-5	6-aux	6-aux
167-6	1-dep	17-root
167-7	6-punct	6-punct
167-8	1-cc	11-advmod
167-9	1-conj	11-case
167-10	9-dep	11-mark
167-11	10-dep	6-ccomp
167-12	15-det	15-det
167-13	14-advmod	14-advmod
167-14	15-amod	15-amod
167-15	11-dobj	11-nmod
167-16	1-punct	6-punct

168-0	13-root	2-cc
168-1	2-nsubj	2-nmod
168-2	0-conj	13-root
168-3	2-dobj	4-mark
168-4	3-dep	2-ccomp
168-5	6-case	6-case
168-6	4-nmod	4-dobj
168-7	8-case	8-case
168-8	6-nmod	6-nmod
168-9	4-nmodCOLloc	11-advmod
168-10	11-case	11-case
168-11	9-nmod	8-nmod
